5	3.998800090000001e-40
5.0115	3.78769444e-40
5.0231	3.58799364e-40
5.0347	3.3992296899999995e-40
5.0463	3.22058916e-40
5.0579	3.05165961e-40
5.0696	2.8917002500000006e-40
5.0813	2.7406802500000003e-40
5.093	2.5975768899999998e-40
5.1047	2.46207481e-40
5.1165	2.33386729e-40
5.1283	2.21265625e-40
5.1401	2.0978625599999995e-40
5.152	1.9892281599999996e-40
5.1639	1.8862275600000003e-40
5.1758	1.78890625e-40
5.1877	1.69676676e-40
5.1997	1.6093459599999998e-40
5.2117	1.52646025e-40
5.2237	1.44817156e-40
5.2357	1.37405284e-40
5.2478	1.30370724e-40
5.2599	1.23698884e-40
5.272	1.1739722500000001e-40
5.2842	1.1140802500000002e-40
5.2964	1.05740089e-40
5.3086	1.0036032400000002e-40
5.3208	9.527126449e-41
5.3331	9.044580609e-41
5.3454	8.586987556000001e-41
5.3577	8.153187025e-41
5.3701	7.741888144e-41
5.3825	7.352033535999999e-41
5.3949	6.982106480999999e-41
5.4073	6.631496356e-41
5.4198	6.298803224999999e-41
5.4323	5.983331904000001e-41
5.4448	5.684104448999999e-41
5.4574	5.400339169000001e-41
5.4699	5.131000160999999e-41
5.4826	4.875390975999999e-41
5.4952	4.632980356e-41
5.5079	4.4028533160000005e-41
5.5206	4.1845373440000004e-41
5.5333	3.9773203559999995e-41
5.5461	3.7806511689999996e-41
5.5589	3.5940025e-41
5.5717	3.416753209e-41
5.5845	3.2485440160000003e-41
5.5974	3.088802929e-41
5.6103	2.9370980250000003e-41
5.6232	2.7931224999999995e-41
5.6362	2.6563715999999996e-41
5.6492	2.526469696e-41
5.6622	2.4031564840000004e-41
5.6753	2.2859873440000002e-41
5.6884	2.1747299560000003e-41
5.7015	2.0689761959999997e-41
5.7146	1.968608161e-41
5.7278	1.8731584000000001e-41
5.741	1.7825284000000002e-41
5.7543	1.696368969e-41
5.7675	1.6145127609999998e-41
5.7808	1.536718401e-41
5.7942	1.462756516e-41
5.8075	1.3924838559999999e-41
5.8209	1.3256881e-41
5.8343	1.2622387839999999e-41
5.8478	1.2018702239999998e-41
5.8613	1.1444689e-41
5.8748	1.0899241960000001e-41
5.8884	1.037999524e-41
5.9019	9.88662249e-42
5.9155	9.417533440000001e-42
5.9292	8.97182209e-42
5.9429	8.54743696e-42
5.9566	8.14360369e-42
5.9703	7.759567359999999e-42
5.9841	7.394592489999999e-42
5.9979	7.046901159999999e-42
6.0117	6.71639056e-42
6.0256	6.401912039999999e-42
6.0394	6.102382089999999e-42
6.0534	5.817744e-42
6.0673	5.5464960100000005e-42
6.0813	5.28862009e-42
6.0954	5.0431684899999996e-42
6.1094	4.80968761e-42
6.1235	4.5873072400000005e-42
6.1376	4.37520889e-42
6.1518	4.1738489999999997e-42
6.166	3.98202025e-42
6.1802	3.79899081e-42
6.1944	3.6252160000000004e-42
6.2087	3.4596e-42
6.223	3.301489e-42
6.2374	3.1513350399999995e-42
6.2518	3.00814336e-42
6.2662	2.87200809e-42
6.2806	2.74200481e-42
6.2951	2.6182476099999998e-42
6.3096	2.50019344e-42
6.3242	2.38795209e-42
6.3388	2.28100609e-42
6.3534	2.1791664399999998e-42
6.368	2.0819604099999998e-42
6.3827	1.9892281599999997e-42
6.3974	1.90108944e-42
6.4122	1.8168344099999996e-42
6.427	1.7365968400000003e-42
6.4418	1.6602322499999997e-42
6.4566	1.58734801e-42
6.4715	1.5178239999999998e-42
6.4865	1.4515430400000003e-42
6.5014	1.3883908899999998e-42
6.5164	1.3280257599999999e-42
6.5314	1.2705798400000001e-42
6.5465	1.21594729e-42
6.5616	1.16359369e-42
6.5767	1.1136580900000001e-42
6.5919	1.0662627600000002e-42
6.6071	1.0207060899999999e-42
6.6223	9.774881424000002e-43
6.6376	9.361723536000001e-43
6.6529	8.967521808999999e-43
6.6682	8.591250721000001e-43
6.6836	8.232295823999998e-43
6.699	7.889525329e-43
6.7145	7.562389443999999e-43
6.73	7.250181904000002e-43
6.7455	6.951890884e-43
6.761	6.667375716e-43
6.7766	6.395520783999999e-43
6.7923	6.135902223999999e-43
6.8079	5.888106756e-43
6.8236	5.651280625e-43
6.8394	5.425206336e-43
6.8551	5.209086276e-43
6.8709	5.0027329e-43
6.8868	4.805678329e-43
6.9027	4.617202500000001e-43
6.9186	4.4371585439999996e-43
6.9345	4.265134864e-43
6.9505	4.1007373690000006e-43
6.9666	3.943588804e-43
6.9826	3.793328099999999e-43
6.9987	3.649609744e-43
7.0149	3.512340225e-43
7.031	3.3809573159999993e-43
7.0473	3.255387136e-43
7.0635	3.1353280359999994e-43
7.0798	3.0203817640000005e-43
7.0961	2.910494601e-43
7.1125	2.8053971559999998e-43
7.1289	2.7047280490000006e-43
7.1453	2.608451329e-43
7.1618	2.516326569e-43
7.1783	2.428222729e-43
7.1949	2.3438185690000005e-43
7.2115	2.2630000410000004e-43
7.2281	2.185656001e-43
7.2448	2.1115863039999996e-43
7.2615	2.0405999289999996e-43
7.2782	1.972692225e-43
7.295	1.907592976e-43
7.3118	1.8453038489999998e-43
7.3287	1.7855695360000001e-43
7.3456	1.728314329e-43
7.3625	1.673464464e-43
7.3795	1.620948121e-43
7.3965	1.5705369000000001e-43
7.4136	1.5222482559999999e-43
7.4307	1.475942724e-43
7.4478	1.4315628959999998e-43
7.465	1.388978361e-43
7.4822	1.348138089e-43
7.4994	1.3089924e-43
7.5167	1.271350336e-43
7.5341	1.235311609e-43
7.5514	1.200691801e-43
7.5689	1.1675205609999998e-43
7.5863	1.135622601e-43
7.6038	1.105030564e-43
